"File","SizeBytes","SHA256"
"scores.csv","57379116","660c4a29f0a8d4631c579908f9b4d0870336085cb1637aff2e8f9e8359715965"
"scores.csv.zip","15214770","a1cc0b2dc0d6d21c54c1262826c764fcb9108146b8ddc56f08f8db07347a7703"
