model,mean,ci_low,ci_high,rank1_probability,iterations
claude-haiku-4-5-20251001,0.6429735565053208,0.6291440706916405,0.6558604367771079,0.0,5000
gpt-4.1-mini,0.7126728009215886,0.6984535176263115,0.7261435720589801,1.0,5000
llama3.1:8b,0.5581233979995984,0.5400393718661871,0.5756429554770942,0.0,5000
qwen2.5:7b-instruct,0.6245695179638556,0.6061938971838214,0.6428628252395512,0.0,5000
