model,latent_reliability_baseline,latent_reliability_safety,condition_effect,condition_sensitivity,sensitivity_adjusted_reliability,latent_logit_baseline,posterior_sd_logit_baseline,ci_low_baseline,ci_high_baseline,latent_logit_safety,posterior_sd_logit_safety,ci_low_safety,ci_high_safety,posterior_sd_condition_effect,ci_low_condition_effect,ci_high_condition_effect,posterior_probability_condition_effect_positive,posterior_mean_condition_sensitivity,posterior_sd_condition_sensitivity,condition_sensitivity_upper_95,posterior_sd_adjusted_reliability,ci_low_adjusted_reliability,ci_high_adjusted_reliability,item_difficulty_sd,vb_converged,posterior_draws,n,unique_items
claude-haiku-4-5-20251001,0.7729358469773219,0.8137839086215034,0.04084806164418153,0.04084806164418153,0.7419990710643958,1.2249634628872657,0.016901477512472594,0.7670701072040281,0.7787074634717562,1.474787081263565,0.024689347439712038,0.8064272514744607,0.8209585116978467,0.0027522882310256677,0.0353595031357362,0.046131256353729534,1.0,0.04080347456803591,0.0027522882310256677,0.045339797698370266,0.0037637049905390532,0.7346679051168652,0.7493703223935265,2.150484529248092,True,10000,15476,7738
gpt-4.1-mini,0.9045681175206122,0.9162599640514543,0.011691846530842098,0.011691846530842098,0.8940536325627078,2.2490448910660983,0.032857978000499076,0.898839702085825,0.9100213691823827,2.392582938080613,0.05508086244325902,0.9075185710665432,0.9242197363377168,0.003450496400236977,0.004727985910519414,0.018277338635831357,0.9996,0.011616856902959456,0.0034476124264435563,0.017176991079094032,0.0043603673026668946,0.885346048801036,0.9024022389955005,2.150484529248092,True,10000,15476,7738
llama3.1:8b,0.6470048226615187,0.688447411465588,0.04144258880406926,0.04144258880406926,0.6207392829446774,0.6058993534455875,0.029031187170033685,0.6340024705479487,0.6598765355586413,0.79287078641403,0.04772533364429064,0.667918388181209,0.7081644879130954,0.008088788562767698,0.025304634485436572,0.05722214168537093,1.0,0.04138594984103382,0.008088788562767698,0.05474150749521846,0.008353792730707568,0.6044042564170814,0.6371877049576244,2.150484529248092,True,10000,15476,7738
qwen2.5:7b-instruct,0.819355906476112,0.8384625001774612,0.01910659370134915,0.01910659370134915,0.80384941591462,1.5119897903294202,0.030585121624871047,0.8102369854695278,0.8280722669691801,1.6468325450029486,0.05072168479948315,0.8246037349887034,0.851468692109785,0.005501479182641708,0.007801960880518993,0.029500741959728325,0.9993,0.018991248298743216,0.005496951995827311,0.02777805524585312,0.006495200337697139,0.7909452051288981,0.816618629145406,2.150484529248092,True,10000,15476,7738
